Date,Open,High,Low,Close,Volume
1/3/2012,24.6,24.89,24.39,24.54,44851032
1/4/2012,24.58,25.13,24.53,25.11,47508608
1/5/2012,25.07,25.45,24.98,25.4,49492052
1/6/2012,25.2,25.4,25.01,25.25,36345172
1/9/2012,25.4,25.56,25.22,25.47,47478544
1/10/2012,25.71,25.92,25.51,25.59,41060876
1/11/2012,25.44,25.89,25.34,25.8,57172312
1/12/2012,25.89,25.9,25.54,25.75,44421960
1/13/2012,25.69,25.72,25.1,25.14,63317336
1/17/2012,25.18,25.4,24.97,25.04,60443396
1/18/2012,25.11,25.48,25.01,25.39,62695616
1/19/2012,25.5,25.68,25.37,25.63,64946208
1/20/2012,25.88,26.47,25.5,26.38,101282200
1/23/2012,26.35,26.89,26.34,26.71,69668864
1/24/2012,26.65,26.98,26.61,26.9,56220364
1/25/2012,26.76,26.95,26.5,26.9,54757808
1/26/2012,26.95,27,26.6,26.75,61678136
1/27/2012,26.66,26.84,26.59,26.73,50589868
1/30/2012,26.48,26.8,26.27,26.74,60694068
1/31/2012,26.79,26.8,26.28,26.42,45330708
2/1/2012,26.79,26.84,26.51,26.55,46334704
2/2/2012,26.59,26.74,26.46,26.49,34780240
2/3/2012,26.62,26.95,26.58,26.74,42194132
2/6/2012,26.53,26.73,26.36,26.72,36777892
2/7/2012,26.63,26.74,26.43,26.64,33104970
2/8/2012,26.64,26.99,26.61,26.85,37072048
2/9/2012,26.91,27,26.79,26.86,35755016
2/10/2012,26.74,26.79,26.45,26.7,33624236
2/13/2012,26.79,26.84,26.52,26.7,24727212
2/14/2012,26.57,26.78,26.5,26.78,25413700
2/15/2012,26.87,26.88,26.5,26.58,35832552
2/16/2012,26.43,26.95,26.35,26.83,42457732
2/17/2012,26.84,27.5,26.82,27.37,74254032
2/21/2012,27.32,27.37,27.01,27.16,34913272
2/22/2012,27.08,27.35,26.51,26.73,51979380
2/23/2012,26.53,26.86,26.35,26.66,33801412
2/24/2012,26.7,26.8,26.45,26.7,39311240
2/27/2012,26.53,27.2,26.45,26.89,46027008
2/28/2012,26.96,27.3,26.82,27.24,32823452
2/29/2012,27.29,27.3,26.84,26.88,41861800
3/1/2012,27.07,27.14,26.71,26.86,39415008
3/2/2012,26.92,27.03,26.77,26.92,29634028
3/5/2012,26.89,26.91,26.36,26.54,32336068
3/6/2012,26.25,26.63,26.2,26.61,37196664
3/7/2012,26.59,27,26.52,26.91,32725476
3/8/2012,27,27.04,26.75,26.84,37264480
3/9/2012,26.94,27.17,26.87,27.07,29406616
3/12/2012,27,27.08,26.91,26.99,24016824
3/13/2012,27.13,27.5,27.12,27.49,33796756
3/14/2012,27.44,27.9,27.34,27.46,46835632
3/15/2012,27.46,27.85,27.43,27.75,34193224
3/16/2012,27.81,27.96,27.7,27.73,54672268
3/19/2012,27.64,27.9,27.54,27.74,26941760
3/20/2012,27.65,27.9,27.56,27.75,22685408
3/21/2012,27.83,27.89,27.7,27.78,22213496
3/22/2012,27.73,27.95,27.61,27.9,23395544
3/23/2012,27.95,27.99,27.68,27.88,24901400
3/26/2012,28,28.26,27.96,28.19,32807678
3/27/2012,28.19,28.28,28.07,28.19,24372048
3/28/2012,28.13,28.25,27.8,27.8,35154500
3/29/2012,27.77,28.18,27.67,28.16,39624100
3/30/2012,28.36,28.45,28.02,28.12,43024388
4/2/2012,28,28.45,27.99,28.38,28854184
4/3/2012,28.31,28.37,27.95,28.11,34152416
4/4/2012,27.87,28.03,27.6,27.93,30845072
4/5/2012,27.87,28.1,27.8,28.07,22020620
4/9/2012,27.73,27.9,27.59,27.76,22970314
4/10/2012,27.67,27.86,27.41,27.45,36272068
4/11/2012,27.63,28,27.63,27.85,26676812
4/12/2012,27.98,28.52,27.93,28.48,37053420
4/13/2012,28.34,28.39,28.08,28.09,34483248
4/16/2012,28.26,28.55,28.14,28.41,37479936
4/17/2012,28.44,28.78,28.41,28.47,61287912
4/18/2012,27.57,28.11,27.46,27.95,72256464
4/19/2012,27.87,28.09,27.44,27.69,43042968
4/20/2012,27.76,27.97,27.57,27.6,38064820
4/23/2012,27.38,27.57,27.24,27.45,37792688
4/24/2012,27.35,27.6,27.24,27.31,35010516
4/25/2012,27.47,27.91,27.35,27.86,40863576
4/26/2012,27.8,28.3,27.75,28.22,46649640
4/27/2012,28.11,28.53,28.1,28.38,33312328
4/30/2012,28.42,28.54,28.29,28.4,28812624
5/1/2012,28.47,29.05,28.37,28.95,43317856
5/2/2012,28.84,29.27,28.72,29.18,40434660
5/3/2012,29.25,29.27,28.42,28.56,41225996
5/4/2012,28.3,28.38,27.84,27.9,34575688
5/7/2012,27.8,27.98,27.65,27.76,37385884
5/8/2012,27.5,27.6,27.01,27.37,53089336
5/9/2012,27.13,27.35,26.75,27.19,40607560
5/10/2012,27.35,27.46,26.96,27.24,36238936
5/11/2012,27.26,27.95,27.2,27.63,34941404
5/14/2012,27.35,27.4,26.88,27.02,39447240
5/15/2012,27.04,27.25,26.82,26.88,35712024
5/16/2012,26.91,26.99,26.49,26.5,44629248
5/17/2012,26.47,26.66,26.19,26.19,31505042
5/18/2012,26.29,26.57,26.05,26.07,43444808
5/21/2012,26.04,26.19,25.68,26.15,41395584
5/22/2012,26.27,26.28,25.78,26.03,46047436
5/23/2012,25.48,25.51,24.92,25.44,61969600
5/24/2012,25.59,25.78,25.31,25.65,37131848
5/25/2012,25.72,25.85,25.57,25.74,19123768
5/29/2012,26.03,26.32,25.86,26.09,35057936
5/30/2012,25.94,26.19,25.8,26.13,33092340
